Math,Art,English,Results
37.454011884736246,3.879945472888746,7.3175098768002105,0.0
95.07143064099162,18.677252823112934,8.94783829824174,0.0
73.1993941811405,83.12458050899426,65.19737139229606,1.0
59.86584841970366,76.67683563383358,48.694071323924824,1.0
15.601864044243651,35.06426914571469,79.04152503192103,0.0
15.599452033620265,37.681062777421246,91.62708373435315,0.0
5.8083612168199465,53.35544335535795,38.83668776715476,0.0
86.61761457749351,0.02410046851345493,59.64100265846463,0.0
60.11150117432088,24.124433603802785,50.06966277953099,0.0
70.80725777960456,20.823180860821445,98.16106556424329,1.0
2.0584494295802447,25.048294674976347,83.10844073565951,0.0
96.99098521619943,80.59058425334413,91.17377082773535,2.0
83.24426408004217,27.967385654644318,25.434008757760417,0.0
21.233911067827616,19.152132205014816,77.25264231625944,0.0
18.182496720710063,50.42634607930315,26.547322499764892,0.0
18.34045098534338,86.56450363727319,20.87425334283899,0.0
30.42422429595377,24.134970383749987,94.42661596555509,0.0
52.475643163223786,7.853624279279869,1.9304416717866646,0.0
43.194501864211574,35.64047358496647,96.53887036634296,1.0
29.122914019804192,74.76518245649778,14.92618969888062,0.0
61.18528947223795,55.06905446947946,81.94380817932682,1.0
13.949386065204184,81.67933695743474,27.59225530681031,0.0
29.214464853521815,95.9592147609234,35.07023274307274,1.0
36.63618432936917,79.26624767516171,21.675771132198495,0.0
45.606998421703594,60.38030788437534,58.551404248107964,1.0
78.51759613930136,49.33415880523805,34.809554750787406,1.0
19.967378215835975,4.006908634826667,65.73930394946632,0.0
51.42344384136116,98.43219788140412,1.5647317942065975,1.0
59.24145688620425,38.348112257504255,6.437488351503962,0.0
4.645041271999773,15.222821391686681,9.966115273124865,0.0
60.75448519014384,66.67088553964568,41.89936853102311,1.0
17.052412368729154,28.428828909545935,81.4796172659976,0.0
6.505159298527952,58.57782709310476,88.81779103783826,1.0
94.88855372533332,58.67679078445912,24.481074006090076,1.0
96.56320330745594,44.572982090286914,57.4369724239014,1.0
80.83973481164611,83.61186155450426,76.83649926926005,2.0
30.46137691733707,26.496706155544302,28.88294299196087,0.0
9.767211400638388,44.86325916177341,40.90077367362732,0.0
68.42330265121569,53.76921285909715,52.397420268571395,1.0
44.01524937396013,66.36247207672996,13.48748464080477,0.0
12.203823484477883,78.39718505055895,2.5982293725780314,0.0
49.51769101112702,39.480728287825606,15.280580931828325,0.0
3.4388521115218396,64.6046944096596,62.685362125353336,0.0
90.9320402078782,15.061095306851913,7.361826153368167,0.0
25.87799816000169,93.26481005424786,18.96963648501283,0.0
